area,topic,question,answer
Management,Leadership,Define leadership?,"Leadership is the ability to influence, inspire and guide individuals to achieve organisation goals"
Management,Strategy,Give a short definition of corporate strategy?,Strategy is the art of making specific choices to deliver unique value and win in the marketplace.
Management,Strategy,What are the five elements of a good business strategy?,Overarching goal + Where to play + How to play + BMS + Strategic core capabilities
Pipeline Engineering,Analysis,Can you have more than one tri-linear soils model in a sequence of Abaqus analyses when assessing ISB (or similar)?,"No, you need to change between Coulomb friction and one tri-linear definition, you can't change between multiple tri-linear definitions (this was the case/limitation in 2024)."
Management,Strategy,What is strategic innovation?,"Strategic innovation refers to innovation targeted at enhancing or transforming strategic core capabilities (i.e., defined in the business strategy)"
Pipeline Engineering,Analysis,"According to DNV-RP-F110 (2021), what are the criteria for complying with requirements for an 'even' or 'moderately unven' seabed? i.e., the context of global buckling.",LCC less than 0.2 (water filled) or 0.3 (under max EAF) prior to buckle initiation. Ramp up analyses until just before buckle occurs. May also need to remove sleepers from the model.
Management,Strategy,Who are the Big 4?,"The Big 4 are the four largest international accounting and professional services firms. They are Deloitte, EY, KPMG and PwC. Each provides audit, tax, consulting and financial advisory services to major corporations."
Management,Strategy,Who are the Big 3 or MBBs?,"The Big 3 or MBB is the name given to the three largest strategy consulting firms, namely McKinsey, Boston Consulting Group and Bain & Co."
Pipeline Engineering,Welding,Can you re-use qualified welding procedures from another (say previous) contractor?,"Typically, no. DNV ST-F101 states ""A qualified welding procedure of a particular manufacturer is valid for welding only in workshops or sites under the operational technical and quality control of that manufacturer"". Also, the automated welding equipment is an essential variable, hence, any change in make, type and model for partly-mechanised, mechanised and automatic welding results in non-conformance. It is very difficult to achieve same conditions with a new contractor. "
Project Management,Wood BMS,"In Wood internal PM reporting, what is meant by ""Current Revenue Budget""?",Original Sales Value + Any variations that the client has submitted. 
Project Management,Wood BMS,"In Wood internal PM reporting, what is meant by ""Current Cost Budget""? ",As sold position of cost so actual burdened cost to hit the project excluding margin. 
Project Management,Wood BMS,"In Wood internal PM reporting, what is meant by ""Current Project Revenue forecast""? ",Approved value plus any additions you have agreed with the client that are not approved in order yet. 
Project Management,Wood BMS,"In Wood internal PM reporting, what is meant by ""Cost forecast""? ",Corresponding cost without margin. 
Project Management,Wood BMS,"In Wood internal PM reporting, what is meant by ""Actual Rev ITD""? ",Actual revenue incurred to the end of the month reported. so in December its to the end of November. 
Project Management,Wood BMS,"In Wood internal PM reporting, what is meant by ""Cost ITD""? ",Actual cost incurred to date without the margin. 
Project Management,Wood BMS,"In Wood internal PM reporting, what is meant by ""Reporting currency""? ","Functional currency of the Business unit so Galway Euro, UK GBP, even if the order is issued in a different currency. "
